제조사,모델명,연료,연식,주행거리(km),시세_평균(만원),시세_최저(만원),시세_최고(만원),사고여부
현대,싼타페 더 프라임 디젤 2.2 2WD 익스클루시브 스페셜,디젤,201603,22882,1293,877,1850,X
현대,더 뉴 그랜저 IG 하이브리드 르블랑,가솔린+전기,202108,80912,2527,1950,3050,O
르노코리아,더 뉴 QM6 2.0 LPe RE 2WD,LPG(일반인 구입),202601,8,1910,1130,2820,X
기아,스포티지 더 볼드 디젤 2.0 2WD 프레스티지,디젤,202012,66257,2250,1120,8899,X
현대,더 뉴 맥스크루즈 디젤 2.2 2WD 파이니스트 에디션,디젤,201612,141127,1502,960,1900,X
기아,스포티지 5세대 디젤 2.0 4WD 프레스티지,디젤,202201,109799,2328,1750,3350,X
마세라티,르반떼 3.0 AWD 그란루쏘,가솔린,201906,69183,3668,1900,8750,X
BMW,2시리즈 (G42) M240i xDrive 쿠페,가솔린,202312,34151,5606,5100,6150,X
현대,더 뉴 팰리세이드 디젤 2.2 2WD 익스클루시브,디젤,202301,42502,3949,2486,5890,X
기아,더 뉴 셀토스 가솔린 1.6 터보 2WD 그래비티,가솔린,202302,15034,2592,1999,3830,O
현대,그랜저 IG 3.0 익스클루시브 (세부등급 없음),가솔린,201704,149002,1484,499,2350,X
쉐보레,올 뉴 말리부 1.5 터보 퍼펙트 블랙 LTZ,가솔린,201611,136314,797,539,1100,X
현대,더 뉴 그랜저 IG 하이브리드 르블랑,가솔린+전기,202108,80912,2527,1950,3050,X
기아,스포티지 더 볼드 디젤 2.0 2WD 프레스티지,디젤,202012,66257,2250,1120,8899,O
기아,카니발 4세대 9인승 시그니처,디젤,202010,94762,2925,1980,9999,X
맥라렌,600LT 3.8 스파이더,가솔린,201908,22589,20900,20900,20900,O
BMW,5시리즈 (F10) M550d xDrive,디젤,201409,186850,1356,420,9876,X
볼보,XC60 2세대 T8 울트라 브라이트,가솔린+전기,202510,2395,4920,2500,8299,X
현대,더 뉴 싼타페 디젤 2.2 2WD 캘리그래피,디젤,202304,113522,2998,1940,9999,X
포르쉐,파나메라 (971) 3.0 AWD,가솔린,201809,125543,9342,4590,21966,X
현대,i40 살룬 2.0 GDi 모던,가솔린,201210,175410,572,345,850,X
쉐보레,더 뉴 스파크 LS (세부등급 없음),가솔린,201811,64779,1142,490,9999,X
벤츠,E-클래스 W213 E220d 카브리올레,디젤,201812,130148,3621,1899,6990,X
아우디,A4 (B9) 40 TFSI,가솔린,202303,121259,2519,1680,4340,X
쉐보레,더 뉴 트랙스 1.6 디젤 LTZ,디젤,201703,110763,1198,499,9999,X
제네시스,GV80 2.5T 가솔린 AWD (세부등급 없음),가솔린,202404,34918,5387,2140,7550,X
기아,쏘렌토 4세대 디젤 2.2 4WD 노블레스,디젤,202304,144471,2707,33,3810,X
현대,더 뉴 아반떼 AD 1.6 스타일,가솔린,201902,11631,1255,799,1650,X
현대,더 뉴 아반떼 1.6 GDi 모던 기본형,가솔린,201401,98406,570,379,850,X
BMW,3시리즈 (G20) 320i M 스포츠,가솔린,202107,61754,3845,2380,9999,X
기아,더 뉴 셀토스 가솔린 1.6 터보 2WD 그래비티,가솔린,202302,15034,2592,1999,3830,X
지프,그랜드 체로키(WL) L 3.6 오버랜드,가솔린,202212,43029,4415,2090,6090,X
BMW,5시리즈 (G30) 520d M 스포츠,디젤,201706,54522,3296,1850,5650,X
기아,쏘렌토 4세대 HEV 1.6 2WD 프레스티지,가솔린+전기,202107,50927,2707,33,3810,X
포르쉐,718 박스터 2.0,가솔린,201912,65430,8274,4189,14068,X
KG모빌리티,더 뉴 렉스턴 스포츠 디젤 2.2 4WD 프레스티지,디젤,202106,65375,2294,1650,2950,O
기아,스포티지 5세대 가솔린 1.6 터보 2WD 트렌디,가솔린,202109,108099,2328,1750,3350,X
현대,더 뉴 싼타페 가솔린 2.5T 2WD 프레스티지,가솔린,202306,36367,2998,1940,9999,X
현대,아반떼 AD 1.6 GDI 밸류 플러스,가솔린,201801,96163,924,560,2000,X
쉐보레,올란도 LPG LTZ 프리미엄,LPG(일반인 구입),201304,57559,883,320,9999,X
기아,스포티지 5세대 가솔린 1.6 터보 2WD 트렌디,가솔린,202108,103106,2328,1750,3350,X
재규어,XF (X260) 20d 포트폴리오,디젤,201808,103585,1064,450,2280,X
BMW,2시리즈 그란쿠페 (F44) 220d 어드밴티지,디젤,202008,59848,2599,1950,3430,O
기아,더 뉴 니로 1.6 HEV 노블레스 스페셜,가솔린+전기,202003,133503,1767,1270,2550,X
현대,더 뉴 싼타페 디젤 2.2 2WD 캘리그래피,디젤,202012,69630,2998,1940,9999,X
제네시스,GV80 2.5T 가솔린 2WD,가솔린,202104,45962,5387,2140,7550,O
기아,모하비 더 마스터 디젤 3.0 4WD 5인승 마스터즈,디젤,202006,46712,3518,2299,5150,X
벤츠,GLE-클래스 W167 GLE400d 4MATIC 쿠페,디젤,202102,82542,8743,5950,16800,X
기아,스포티지 4세대 디젤 2.0 2WD 노블레스 (세부등급 없음),디젤,201510,141567,1131,740,1900,X
현대,아반떼 AD 1.6 GDI 밸류 플러스,가솔린,201711,74646,924,560,2000,X
폭스바겐,제타 7세대 1.4 TSI 프레스티지,가솔린,202103,16479,2294,1400,2999,X
기아,카니발 4세대 9인승 시그니처,디젤,202010,94762,2925,1980,9999,O
지프,레니게이드 1.3 리미티드,가솔린,202312,27506,1688,650,2920,X
지프,그랜드 체로키(WL) L 3.6 오버랜드,가솔린,202212,43029,4415,2090,6090,O
폭스바겐,골프 8세대 2.0 GTI,가솔린,202307,11763,3420,2650,4400,X
쉐보레,올 뉴 말리부 1.5 터보 LTZ (세부등급 없음),가솔린,201607,132465,797,539,1100,X
벤츠,GLE-클래스 W166 AMG GLE63 S 4MATIC 쿠페,가솔린,201912,59198,3582,1899,6550,X
현대,더 뉴 캐스퍼 인스퍼레이션,가솔린,202501,24992,2267,1560,2580,X
벤츠,AMG GT 4도어 43 4MATIC+,가솔린,202211,28620,8697,2390,16950,X
폭스바겐,티구안 2세대 2.0 TDI 프레스티지,디젤,201911,56282,3761,1850,9999,X
기아,카니발 4세대 가솔린 7인승 하이리무진 시그니처,가솔린,202204,14112,2925,1980,9999,X
기아,더 뉴 스포티지 5세대 하이브리드 HEV 1.6 2WD 시그니처,가솔린+전기,202503,7154,3587,1386,5300,O
현대,더 뉴 그랜저 IG 2.5 르블랑,가솔린,202204,92511,2359,1299,3090,X
기아,더 뉴 카니발 가솔린 9인승 노블레스 스페셜,가솔린,201903,63221,1700,1049,2840,X
기아,스포티지 5세대 하이브리드 시그니처 그래비티 2WD,가솔린+전기,202206,48990,3121,2190,7777,X
현대,더 뉴 그랜저 IG 3.3 프리미엄 초이스,가솔린,201912,108289,2359,1299,3090,X
현대,아반떼 AD 1.6 터보 스포츠 (세부등급 없음),가솔린,201701,179230,924,560,2000,X
현대,팰리세이드 디젤 2.2 4WD 캘리그래피,디젤,202206,57666,2941,2250,3750,X
포드,익스플로러 6세대 2.3 리미티드 4WD,가솔린,202209,49567,3583,2350,5699,X
캐딜락,XT4 2.0 스포츠 AWD,가솔린,202212,40948,3864,3699,4249,X
BMW,5시리즈 (F10) 520d xDrive,디젤,201404,151854,1356,420,9876,O
포드,익스플로러 6세대 2.3 리미티드 4WD,가솔린,202311,14468,3583,2350,5699,X
벤츠,E-클래스 W213 E300 4MATIC 익스클루시브,가솔린,202009,81540,3621,1899,6990,X
기아,더 뉴 니로 1.6 HEV 럭셔리,가솔린+전기,202101,122067,1767,1270,2550,X
제네시스,GV80 2.5T 가솔린 AWD (세부등급 없음),가솔린,202103,119288,5387,2140,7550,O
BMW,X3 (G01) xDrive M40i,가솔린,202410,29381,4529,2300,7480,O
현대,싼타페 TM 가솔린 2.0T 2WD 인스퍼레이션,가솔린,201906,70863,2096,1490,3333,X
현대,더 뉴 캐스퍼 터보 인스퍼레이션,가솔린,202509,819,2267,1560,2580,X
현대,더 뉴 그랜저 IG 2.5 프리미엄,가솔린,202009,18750,2359,1299,3090,X
현대,더 뉴 아반떼 하이브리드 (CN7) 모던,가솔린+전기,202508,3769,2428,1699,2920,X
폭스바겐,티구안 2세대 2.0 TDI 프레스티지,디젤,202204,88314,3761,1850,9999,O
기아,카니발 4세대 가솔린 9인승 시그니처,가솔린,202209,54877,2925,1980,9999,X
제네시스,EQ900 3.3 T-GDI AWD 프레스티지,가솔린,201606,251163,1813,850,3000,X
제네시스,G80 (RG3) 가솔린 2.5 터보 AWD (세부등급 없음),가솔린,202212,24521,4051,864,6950,X
현대,더 뉴 코나 가솔린 1.6 터보 2WD 인스퍼레이션,가솔린,202205,40075,1964,1130,2750,X
벤츠,C-클래스 W205 C200 쿠페,가솔린,202004,101950,2608,1160,5050,X
쉐보레,더 넥스트 스파크 LTZ,가솔린,201604,166778,559,340,780,X
기아,올 뉴 모닝 (JA) 럭셔리,가솔린,201902,5723,825,600,1150,X
기아,더 뉴 K5 3세대 2.0 프레스티지,가솔린,202403,17923,2934,432,4350,X
기아,올 뉴 카니발 9인승 노블레스 스페셜,디젤,201705,199295,1404,540,9999,X
쉐보레,더 뉴 스파크 프리미어,가솔린,201901,63809,1142,490,9999,X
현대,그랜저 IG 2.4 프리미엄 (세부등급 없음),가솔린,201904,61612,1484,499,2350,X
제네시스,GV80 3.0 디젤 AWD,디젤,202103,44339,5387,2140,7550,O
벤츠,GLE-클래스 W166 AMG GLE63 S 4MATIC 쿠페,가솔린,201912,59198,3582,1899,6550,O
KG모빌리티,올 뉴 렉스턴 디젤 2.2 4WD 시그니처,디젤,202304,100004,2817,2050,3450,X
BMW,2시리즈 그란쿠페 (F44) 220i 어드밴티지,가솔린,202206,101539,2599,1950,3430,O
KG모빌리티,더 뉴 렉스턴 스포츠 디젤 2.2 4WD 프레스티지,디젤,202204,63452,2294,1650,2950,X
제네시스,G80 (RG3) 가솔린 3.5 터보 AWD (세부등급 없음),가솔린,202309,38369,4051,864,6950,X
벤틀리,컨티넨탈 GT 3세대 6.0 GT,가솔린,201906,40070,20608,13750,38900,O
기아,더 뉴 K3 2세대 1.6 노블레스,가솔린,202202,52920,1883,1150,3870,O
BMW,3시리즈 (F30) 320d,디젤,201707,63949,1431,469,2350,O
기아,쏘렌토 4세대 가솔린 2.5T 2WD 노블레스,가솔린,202302,8803,2707,33,3810,X
KG모빌리티,뷰티풀 코란도 가솔린 1.5 2WD C5 플러스,가솔린,202107,42075,1592,1140,2290,O
포드,익스플로러 6세대 2.3 ST-라인 4WD,가솔린,202501,22034,3583,2350,5699,X
현대,캐스퍼 디 에센셜,가솔린,202308,27343,1513,950,1760,X
쉐보레,스파크 LS 기본형,가솔린,201402,50915,280,180,490,X
현대,더 뉴 그랜저 IG 3.0 LPi 프리미엄,LPG(일반인 구입),202210,87873,2359,1299,3090,X
벤츠,CLS-클래스 C257 CLS450 4MATIC,가솔린,202211,64209,4887,2580,6950,X
기아,더 뉴 K5 2세대 2.0 프레스티지,가솔린,201906,33160,1278,825,1750,X
제네시스,GV80 2.5T 가솔린 AWD (세부등급 없음),가솔린,202402,10800,5387,2140,7550,X
제네시스,GV80 3.0 디젤 AWD,디젤,202103,44339,5387,2140,7550,X
현대,더 뉴 그랜저 IG 3.0 LPi 프리미엄,LPG(일반인 구입),202210,87873,2359,1299,3090,O
기아,스포티지 5세대 하이브리드 시그니처 그래비티 2WD,가솔린+전기,202206,48990,3121,2190,7777,O
랜드로버,디스커버리 5 D250 SE,디젤,202202,71527,3696,2190,8200,X
르노코리아,SM5 노바 클래식,가솔린,201809,85941,470,199,790,X
현대,올 뉴 투싼 디젤 2.0 2WD 스마트,디젤,202007,81664,1350,830,1900,X
미니,쿠퍼 클럽맨 기본형 2세대,가솔린,201910,59786,1781,299,3520,X
벤츠,CLS-클래스 C257 CLS300d 4MATIC,디젤,202205,51751,4887,2580,6950,X
기아,올 뉴 모닝 (JA) 트렌디,가솔린,201810,73585,825,600,1150,O
기아,디 올 뉴 니로 트렌디,가솔린+전기,202202,112147,2658,540,6660,X
현대,그랜저 하이브리드 (GN7) 캘리그래피,가솔린+전기,202402,94150,3798,624,9999,X
쉐보레,더 뉴 스파크 프리미어,가솔린,201808,68679,1142,490,9999,O
현대,제네시스 BH330 그랜드 프라임팩,가솔린,201112,152617,521,220,780,X
기아,쏘렌토 4세대 디젤 2.2 4WD 시그니처,디젤,202209,59682,2707,33,3810,X
마세라티,르반떼 3.0 AWD 그란루쏘,가솔린,201906,69183,3668,1900,8750,O
현대,더 뉴 그랜저 IG 3.3 프리미엄 초이스,가솔린,201912,108289,2359,1299,3090,O
현대,더 뉴 팰리세이드 가솔린 3.8 4WD 캘리그래피,가솔린,202212,47584,3949,2486,5890,X
기아,모닝 어반 (JA) 프레스티지,가솔린,202209,7900,1649,620,9999,X
KG모빌리티,베리 뉴 티볼리 가솔린 1.5 2WD V3,가솔린,201907,107819,1639,859,9999,X
기아,올 뉴 모닝 (JA) 프레스티지,가솔린,201704,110091,825,600,1150,X
벤츠,E-클래스 W213 E250 익스클루시브,가솔린,202311,12584,3621,1899,6990,O
아우디,Q8 (4M) 50 TDI 콰트로 프리미엄,디젤,202103,76471,6742,5001,11030,X
현대,싼타페 TM 디젤 2.0 2WD 익스클루시브 스페셜,디젤,201810,109133,2096,1490,3333,O
현대,쏘나타 (DN8) 2.0 스마트,가솔린,202003,27852,1957,1150,9999,O
현대,넥쏘 프리미엄,수소,202104,138555,1686,970,2449,X
KG모빌리티,더 뉴 렉스턴 스포츠 디젤 2.2 4WD 프레스티지,디젤,202306,38450,2294,1650,2950,X
현대,싼타페 더 프라임 디젤 2.0 2WD 프리미엄,디젤,201611,109267,1293,877,1850,X
현대,그랜저 IG 2.4 프리미엄 (세부등급 없음),가솔린,201703,80416,1484,499,2350,X
현대,더 뉴 아반떼 하이브리드 (CN7) 모던,가솔린+전기,202505,15115,2428,1699,2920,X
현대,아반떼 AD 1.6 GDI 밸류 플러스,가솔린,201711,74646,924,560,2000,O
쉐보레,더 넥스트 스파크 LTZ,가솔린,201604,166778,559,340,780,O
현대,올 뉴 투싼 가솔린 1.6 터보 2WD 모던,가솔린,201804,78739,1350,830,1900,X
쉐보레,더 뉴 말리부 1.3 터보 프리미어 (세부등급 없음),가솔린,202012,68551,1394,838,2030,X
기아,더 뉴 스포티지 5세대 하이브리드 HEV 1.6 2WD 시그니처,가솔린+전기,202503,7154,3587,1386,5300,X
현대,더 뉴 그랜저 IG 2.5 르블랑,가솔린,202204,92511,2359,1299,3090,O
KG모빌리티,더 뉴 렉스턴 스포츠 디젤 2.2 4WD 프레스티지,디젤,202106,65375,2294,1650,2950,X
기아,스포티지 5세대 가솔린 1.6 터보 2WD 트렌디,가솔린,202109,108099,2328,1750,3350,O
현대,더 뉴 싼타페 가솔린 2.5T 2WD 프레스티지,가솔린,202306,36367,2998,1940,9999,O
BMW,2시리즈 그란쿠페 (F44) 220d 어드밴티지,디젤,202008,59848,2599,1950,3430,X
제네시스,GV80 2.5T 가솔린 2WD,가솔린,202104,45962,5387,2140,7550,X
KG모빌리티,G4 렉스턴 디젤 2.2 4WD 유라시아 에디션,디젤,201711,117088,1534,970,2220,X
기아,카니발 4세대 9인승 프레스티지,디젤,202011,106323,2925,1980,9999,X
제네시스,G80 3.3 GDI AWD 프리미엄 럭셔리,가솔린,201912,63433,1747,830,2699,X
현대,캐스퍼 터보 디 에센셜,가솔린,202302,41721,1513,950,1760,X
KG모빌리티,뷰티풀 코란도 가솔린 1.5 2WD C5 플러스,가솔린,202007,42281,1592,1140,2290,X
현대,그랜저 IG 3.0 익스클루시브 (세부등급 없음),가솔린,201704,149002,1484,499,2350,O
BMW,5시리즈 (G30) 520d M 스포츠,디젤,201706,54522,3296,1850,5650,O
기아,K5 3세대 2.0 프레스티지,가솔린,202101,139125,2460,1460,9999,X
벤츠,E-클래스 W213 E250 익스클루시브,가솔린,202205,41231,3621,1899,6990,X
현대,더 뉴 싼타페 디젤 2.2 2WD 프리미엄 초이스,디젤,202112,72408,2998,1940,9999,O
BMW,2시리즈 그란쿠페 (F44) 220i 어드밴티지,가솔린,202206,101539,2599,1950,3430,X
벤틀리,컨티넨탈 GT 3세대 6.0 GT,가솔린,201906,40070,20608,13750,38900,X
기아,더 뉴 K3 2세대 1.6 노블레스,가솔린,202202,52920,1883,1150,3870,X
KG모빌리티,뷰티풀 코란도 가솔린 1.5 2WD C5 플러스,가솔린,202107,42075,1592,1140,2290,X
포드,익스플로러 6세대 2.3 ST-라인 4WD,가솔린,202501,22034,3583,2350,5699,O
현대,캐스퍼 디 에센셜,가솔린,202308,27343,1513,950,1760,O
BMW,X2 (F39) xDrive20d M 스포츠,디젤,201812,94423,2836,1950,3890,O
기아,모닝 어반 (JA) 프레스티지,가솔린,202101,39564,1649,620,9999,X
BMW,X6 (G06) xDrive30d M 스포츠,디젤,202109,76410,8632,5181,13999,X
현대,더 뉴 팰리세이드 디젤 2.2 4WD 캘리그래피,디젤,202210,96168,3949,2486,5890,X
제네시스,G90 (RS4) 가솔린 3.5 터보 AWD (세부등급 없음),가솔린,202509,6467,5361,996,9390,X
현대,아이오닉6 롱레인지 익스클루시브,전기,202211,114614,3273,37,4360,X
KG모빌리티,올 뉴 렉스턴 디젤 2.2 4WD 더 블랙,디젤,202011,58095,2817,2050,3450,X
르노코리아,SM6 2.0 LPe LE (장애인용),LPG(일반인 구입),201612,174723,723,399,1099,X
현대,캐스퍼 터보 인스퍼레이션,가솔린,202405,4380,1513,950,1760,O
랜드로버,레인지로버 벨라 3.0 D300 R-다이나믹 SE,디젤,201909,92356,6404,2499,9000,X
현대,제네시스 DH G330 모던 AWD,가솔린,201601,170344,1205,660,1900,X
현대,더 뉴 투싼 (NX4) 디젤 2.0 2WD 인스퍼레이션,디젤,202409,16797,2700,420,9999,O
제네시스,GV80 2.5T 가솔린 AWD (세부등급 없음),가솔린,202305,50090,5387,2140,7550,O
기아,카니발 4세대 9인승 시그니처,디젤,202212,12733,2925,1980,9999,X
현대,쏘나타 (DN8) 2.0 모던,가솔린,202203,100773,1957,1150,9999,X
기아,셀토스 가솔린 1.6 터보 2WD 시그니처,가솔린,202202,41854,1909,1490,2490,O
제네시스,GV70 2.5T 가솔린 AWD (세부등급 없음),가솔린,202105,50472,4134,2950,5650,X
볼보,S90 T8 AWD 인스크립션,가솔린+전기,202011,45103,3424,1650,6300,O
아우디,A4 (B9) 40 TFSI 프리미엄,가솔린,201912,75318,2519,1680,4340,X
볼보,XC90 2세대 T6 인스크립션,가솔린,201912,104078,5489,2670,11900,X
도요타,캠리 (XV70) 2.5 XLE 하이브리드,가솔린+전기,202101,38237,2830,2140,3790,X
르노코리아,XM3 1.3 TCe RE 시그니처,가솔린,202006,14940,2009,980,9999,X
기아,스포티지 5세대 가솔린 1.6 터보 2WD 시그니처 그래비티,가솔린,202108,61634,2328,1750,3350,O
벤츠,A-클래스 W177 A220 해치백,가솔린,202106,65245,2982,1700,6500,X
지프,레니게이드 1.3 리미티드,가솔린,202212,24862,1688,650,2920,O
현대,팰리세이드 디젤 2.2 4WD 프레스티지,디젤,202105,50650,2941,2250,3750,X
포드,익스플로러 6세대 2.3 리미티드 4WD,가솔린,202009,36353,3583,2350,5699,X
벤츠,GLA-클래스 H247 GLA250 4MATIC,가솔린,202104,48130,3782,2550,5550,X
기아,K5 3세대 1.6 터보 프레스티지,가솔린,202012,62728,2460,1460,9999,X
아우디,A5 (F5) 45 TFSI 콰트로 프리미엄 스포트백,가솔린,201909,95403,5170,1950,99999,X
기아,K7 프리미어 2.5 GDI 노블레스,가솔린,201911,51302,1928,1111,2950,X
포르쉐,718 카이맨 4.0 GTS,가솔린,202111,28912,6933,4050,11000,X
현대,싼타페 TM 디젤 2.0 2WD 익스클루시브,디젤,201809,60813,2096,1490,3333,X
BMW,3시리즈 (G20) 320i,가솔린,202202,49768,3845,2380,9999,X
기아,스포티지 더 볼드 디젤 2.0 2WD 인텔리전트,디젤,201808,24849,2250,1120,8899,X
BMW,6시리즈 GT (G32) 630i xDrive 럭셔리,가솔린,202406,20174,4801,2149,6490,X
기아,더 뉴 카니발 4세대 HEV 9인승 시그니처,가솔린+전기,202507,13005,5004,2910,11250,X
BMW,i5 (G60) M60 xDrive,전기,202412,21873,7247,600,9624,X
지프,컴패스 2세대 2.4 리미티드 AWD,가솔린,202209,40287,1967,1109,2850,X
BMW,2시리즈 그란쿠페 (F44) 220i 어드밴티지,가솔린,202202,72834,2599,1950,3430,X
벤츠,GLE-클래스 W167 GLE400d 4MATIC 쿠페,디젤,202102,60756,8743,5950,16800,O
BMW,3시리즈 (G20) 320d M 스포츠,디젤,201910,70730,3845,2380,9999,O
아우디,A6 (C8) 45 TFSI 콰트로 프리미엄,가솔린,201910,75348,3622,2540,5690,X
벤츠,E-클래스 W213 E220d 4MATIC AMG Line,디젤,202102,88993,3621,1899,6990,X
벤츠,CLS-클래스 C257 CLS300d 4MATIC,디젤,202203,36968,4887,2580,6950,X
현대,코나 1.6 터보 2WD 모던 팝,가솔린,201802,99402,1372,970,1800,O
기아,더 뉴 쏘렌토 4세대 가솔린 2.5T 2WD 시그니처,가솔린,202310,29066,4088,382,9999,X
벤츠,E-클래스 W213 E300e 4MATIC 익스클루시브,가솔린+전기,202007,105833,3621,1899,6990,X
벤츠,E-클래스 W213 E300 아방가르드,가솔린,202004,35748,3621,1899,6990,X
제네시스,G80 (RG3) 가솔린 3.5 터보 AWD (세부등급 없음),가솔린,202305,36880,4051,864,6950,X
현대,싼타페 (MX5) 가솔린 2.5T 4WD 프레스티지,가솔린,202410,11266,4012,2504,9999,O
벤츠,E-클래스 W213 E220d 4MATIC AMG Line,디젤,202108,43722,3621,1899,6990,X
기아,더 뉴 카니발 9인승 노블레스 스페셜,디젤,201808,75532,1700,1049,2840,O
기아,카니발 4세대 7인승 노블레스,디젤,202106,124908,2925,1980,9999,X
볼보,S90 T5 인스크립션,가솔린,201910,116375,3424,1650,6300,X
기아,스포티지 4세대 디젤 1.7 2WD 노블레스 (세부등급 없음),디젤,201604,140444,1131,740,1900,X
BMW,M2 (F87) M2 쿠페,가솔린,201812,98273,4756,2899,6550,X
기아,올 뉴 쏘렌토 디젤 2.0 4WD 노블레스 스페셜,디젤,201501,172311,1325,619,1800,X
르노코리아,뉴SM5 플래티넘 1.6 TCE 기본형,가솔린,201308,153096,325,149,530,O
미니,쿠퍼 S 컨트리맨 ALL4 언테임드 에디션 2세대,가솔린,202303,30850,3095,1150,3870,X
제네시스,G80 (RG3) 가솔린 2.5 터보 AWD (세부등급 없음),가솔린,202405,29219,4051,864,6950,X
현대,그랜저 HG HG240 모던,가솔린,201506,62750,639,349,1360,X
현대,팰리세이드 가솔린 3.8 4WD 프레스티지,가솔린,202004,83494,2941,2250,3750,O
현대,더 뉴 싼타페 디젤 2.2 4WD 캘리그래피,디젤,202301,53826,2998,1940,9999,X
쉐보레,스파크 LT 기본형,가솔린,201306,60912,280,180,490,X
기아,K8 2.5 가솔린 2WD 노블레스,가솔린,202309,45931,2637,1579,9999,X
볼보,XC60 2세대 B5 인스크립션,가솔린,202203,41134,4920,2500,8299,X
현대,더 뉴 그랜드 스타렉스 4WD 웨건 11인승 모던,디젤,202012,50173,1906,999,2999,X
기아,쏘렌토 4세대 HEV 1.6 2WD 시그니처,가솔린+전기,202303,41131,2707,33,3810,O
기아,모하비 더 마스터 디젤 3.0 4WD 5인승 마스터즈,디젤,202206,66271,3518,2299,5150,X
기아,올 뉴 카니발 9인승 프레스티지,디젤,201708,39817,1404,540,9999,X
BMW,X1 (F48) xDrive 20i xLine,가솔린,202106,35921,2622,1100,3570,X
현대,아슬란 G300 모던,가솔린,201701,118674,872,379,1400,X
쉐보레,스파크 LT 기본형,가솔린,201301,61696,280,180,490,X
쉐보레,트레일블레이저 1.3 터보 2WD 프리미어,가솔린,202005,39549,1873,1190,3930,O
기아,올 뉴 모닝 (JA) 베이직 플러스,가솔린,201811,58454,825,600,1150,O
현대,YF 쏘나타 Y20 프리미어 (세부등급 없음),가솔린,201105,106095,372,199,499,X
랜드로버,디스커버리 스포츠 2세대 P250 S,가솔린,202106,89354,3994,2380,5200,X
르노코리아,SM6 2.0 GDe RE,가솔린,201602,91740,723,399,1099,X
쉐보레,올란도 2.0 디젤 LTZ 프리미엄,디젤,201107,115705,883,320,9999,X
현대,그랜드 스타렉스 5인승 밴 모던,디젤,201712,129866,973,400,1580,X
KG모빌리티,티볼리 아머 디젤 VX 2WD,디젤,201808,125252,1278,690,8989,O
르노코리아,All New SM7 LE 기본형,가솔린,201109,184116,333,175,490,X
KG모빌리티,뉴코란도 C 2.0 CVT 2WD 고급형,디젤,201407,219750,417,179,999,X
르노코리아,뉴QM5 가솔린 2WD 씨티 LE25,가솔린,201112,195882,396,190,599,X
쉐보레,말리부 2.4 LTZ,가솔린,201403,197163,424,220,999,X
기아,K5 하이브리드 럭셔리,가솔린+전기,201206,164436,540,300,850,X
현대,아반떼 MD M16 GDI 프리미어,가솔린,201110,129241,456,280,660,X
쉐보레,말리부 2.0 디젤 LT 디럭스팩,디젤,201506,211187,424,220,999,X
현대,엑센트(신형) 1.6 GDI 모던,가솔린,201309,154457,502,250,999,X
쉐보레,더 뉴 트랙스 1.4 LTZ,가솔린,201703,83362,1198,499,9999,O
현대,i40 살룬 1.7 VGT 프리미엄,디젤,201205,125131,572,345,850,X
기아,K5 2세대 2.0 MX 프레스티지,가솔린,201610,161418,947,399,1320,O
기아,K9 3.3 GDI 노블레스 기본형,가솔린,201211,229248,944,440,9999,X
르노코리아,SM3 네오 SE,가솔린,201504,83971,456,220,820,X
르노코리아,뉴SM5 플래티넘 RE 기본형,가솔린,201405,155790,325,149,530,X
KG모빌리티,티볼리 아머 디젤 VX 2WD,디젤,201808,125252,1278,690,8989,X
르노코리아,All New SM7 LE 기본형,가솔린,201109,184116,333,175,490,O
르노코리아,뉴QM5 가솔린 2WD 씨티 LE25,가솔린,201112,195882,396,190,599,O
현대,엑센트(신형) 1.6 GDI 모던,가솔린,201309,154457,502,250,999,O
쉐보레,더 뉴 트랙스 1.4 LTZ,가솔린,201703,83362,1198,499,9999,X
르노코리아,QM3 RE,디젤,201312,103421,525,265,780,X
현대,더 뉴 아반떼 1.6 VGT 텐밀리언 리미티드 기본형,디젤,201505,134961,570,379,850,X
현대,아반떼 MD M16 GDI 스마트,가솔린,201211,187776,456,280,660,X
현대,i40 살룬 2.0 GDi PYL,가솔린,201407,193336,572,345,850,X
현대,제네시스 DH G330 모던,가솔린,201407,216778,1205,660,1900,X
현대,벨로스터 익스트림,가솔린,201111,115853,489,299,750,X
현대,제네시스 BH330 럭셔리 기본형,가솔린,201103,149962,521,220,780,X
현대,에쿠스(신형) VS380 모던,가솔린,201408,215294,701,310,1930,O
기아,K5 2세대 2.0 MX 프레스티지,가솔린,201610,161418,947,399,1320,X
현대,엑센트(신형) 디젤 1.6 VGT 모던,디젤,201407,232829,502,250,999,X
현대,아반떼 MD M16 GDI 스마트,가솔린,201211,187776,456,280,660,O
KG모빌리티,티볼리 VX 2WD,가솔린,201501,204892,736,390,990,X
현대,쏘나타 하이브리드 2.0 프리미어,가솔린+전기,201203,129315,502,320,780,X
KG모빌리티,코란도 투리스모 4WD LT 11인승,디젤,201307,188440,636,169,1330,X
BMW,3시리즈 (F30) 320d,디젤,201301,231323,1431,469,2350,X
닛산,알티마 2.5 L33,가솔린,201405,98310,709,190,1090,X
현대,제네시스 BH330 럭셔리 기본형,가솔린,201103,149962,521,220,780,O
기아,더 뉴 K5 LPI 디럭스,LPG(일반인 구입),201403,202017,825,329,9999,X
기아,모하비 2WD JV300 (세부등급 없음),디젤,201108,126664,880,440,1450,O
현대,쏘나타 더 브릴리언트 CVVL 스마트,가솔린,201301,203002,459,270,750,X
